frase_id;ord;token;pos;lema
64;4;sociedade;n;sociedade
64;5;marcha;n;marcha
64;6;baixarias;n;baixaria
65;1;coisas;n;coisa
65;2;querem;v-fin;querer
65;3;afinal;adv;afinal
65;4;Promover;N;promover
65;5;incentivar;v-inf;incentivar
65;6;Ganhem;N;ganhem
65;7;juízo;n;juízo
66;1;Clown;N;clown
66;2;show;n;show
67;1;quer;v-fin;querer
67;2;saber;v-inf;saber
67;3;Sejam;N;sejam
67;4;felizes;adj;feliz
67;5;quiserem;v-fin;querer
67;6;só;adv;só
67;7;não;adv;não
67;8;venham;v-fin;vir
67;9;propaganda;n;propaganda
67;10;principalmente;adv;principalmente
67;11;crianças;n;criança
67;12;bem;adv;bem
67;13;Querem;v-fin;querer
67;14;Ok;N;ok
67;15;quer;v-fin;querer
67;16;saber;v-inf;saber
67;17;agora;adv;agora
67;18;deixem;v-fin;deixar
67;19;sossegado;N;sossegado
67;20;cantinho;n;canto
67;21;senão;adv;senão
67;22;maneira;n;maneira
67;23;vai;v-fin;ir
67;24;começar;v-inf;comer
67;25;manifestações;n;manifestaçõe
67;26;pessoas;n;pessoa
67;27;vai;v-fin;ir
67;28;criar;v-inf;criar
67;29;guerra;n;guerra
67;30;desnecessária;adj;desnecessária
68;1;entrevista;n;entrevista
68;2;coisa;n;coisa
68;3;cabelo;n;cabelo
68;4;cor-de-rosa;N;cor-de-roso
68;5;melhor;adj;melhor
68;6;sabiam;N;sabiam
69;1;Mais;adv;mal
69;2;circo;n;circo
70;1;Vivemos;v-fin;viver
70;2;sociedade;n;sociedade
70;3;livre;adj;livre
70;4;acho;v-fin;achar
70;5;muito;adv;muito
70;6;bem;adv;bem
70;7;Posso;N;posso
70;8;formar;v-inf;formar
70;9;orgulho;n;orgulho
70;10;hetero;N;hetero
70;11;vai;v-fin;ir
70;12;parecer;n;parecer
70;13;coisa;n;coisa
70;14;marchas;N;marcha
70;15;ridículas;N;ridícula
70;16;parecem;v-fin;parecer
71;1;facto;n;facto
71;2;tipo;n;tipo
71;3;eventos;n;evento
71;4;acontecer;v-inf;acontecer
71;5;prova;n;prova
71;6;não;adv;não
71;7;existe;v-fin;existir
71;8;necessidade;n;necessidade
71;9;acontecem;v-fin;acontecer
71;10;liberdade;n;liberdade
71;11;luta;n;luta
71;12;bocado;n;bocado
71;13;desnecessária;adj;desnecessária
71;14;quer;v-fin;querer
71;15;saber;v-inf;saber
71;16;vivam;N;vivam
71;17;vida;n;vida
71;18;respeitem;N;respeitem
71;19;serão;v-fin;serão
71;20;respeitados;v-pcp;respeitar
72;1;bichos;n;bicho
72;2;vão;v-fin;ir
72;3;acabar;v-inf;acabar
72;4;espécie;n;espécie
72;5;humana;adj;humano
72;6;fim;n;fim
72;7;mundo;n;mundo
72;8;chegar;v-inf;chegar
73;1;Orgulho;N;orgulho
73;2;parte;n;parte
73;3;não;adv;não
73;4;percebo;N;percebo
74;1;Parecem;v-fin;parecer
74;2;novelas;N;novela
75;1;Já;adv;já
75;2;chega;v-fin;chegar
75;3;não;adv;não
76;1;melhor;adj;melhor
76;2;fotos;n;foto
76;3;Afinal;adv;afinal
76;4;querem;v-fin;querer
76;5;amar;N;amar
76;6;quiserem;v-fin;querer
76;7;querem;v-fin;querer
76;8;andar;v-inf;andar
76;9;nus;adj;nu
76;10;rua;n;rua
77;1;Carnaval;n;carnaval
78;1;paneleirice;N;paneleiro
79;1;Orgulho;N;orgulho
79;2;perderam;v-fin;perder
79;3;vida;n;vida
79;4;legislação;n;legislação
79;5;feita;v-pcp;fazer
79;6;heterossexuais;N;heterossexual
80;1;muito;adv;muito
80;2;bonito;adj;bonito
80;3;desejamos;N;desejamo
80;4;futuro;n;futuro
81;1;Não;adv;não
81;2;voltam;v-fin;voltar
81;3;enfiar;N;enfiar
81;4;dentro;adv;dentro
81;5;armário;N;armário
81;6;orgulho;n;orgulho
81;7;primeira;adj;primeiro
81;8;fotografia;n;fotografia
81;9;namorado;n;namorado
81;10;celebração;n;celebração
81;11;amor;n;amor
81;12;existe;v-fin;existir
81;13;amor;n;amor
81;14;livre;adj;livre
81;15;orgulho;n;orgulho
81;16;descemos;N;descemo
81;17;Avenida;N;avenida
81;18;Liberdade;n;liberdade
81;19;mãos;n;mão
81;20;dadas;v-pcp;dar
81;21;segurar;v-inf;segurar
81;22;Arco-Íris;N;arco-íril
81;23;orgulho;n;orgulho
81;24;dizemos;v-fin;dizer
81;25;não;adv;não
81;26;voltam;v-fin;voltar
81;27;enfiar;N;enfiar
81;28;armário;N;armário
81;29;Depois;adv;depoil
81;30;anos;n;ano
81;31;agora;adv;agora
81;32;mais;adv;mal
81;33;nunca;adv;nunca
81;34;urgente;adj;urgente
81;35;marchar;v-inf;marchar
81;36;urgente;adj;urgente
81;37;dizer;v-inf;dizer
81;38;existimos;N;existimo
81;39;pessoas;n;pessoa
81;40;humanos;adj;humano
81;41;nomes;n;nome
81;42;altura;n;altura
81;43;novos;adj;novo
81;44;ultraconservadores;N;ultraconservador
81;45;escrevem;N;escrevem
81;46;frases;n;frase
81;47;rotulam;N;rotulam
81;48;anormais;N;anormal
81;49;doentes;adj;doente
81;50;urgente;adj;urgente
81;51;dizer;v-inf;dizer
81;52;não;adv;não
81;53;iguais;adj;igual
81;54;direito;n;direito
81;55;igualdade;n;igualdade
81;56;homossexualidade;N;homossexualidade
81;57;retirada;n;retirada
81;58;doença;n;doença
81;59;OMS;prop;om
81;60;Queremos;v-fin;querer
81;61;viver;v-inf;viver
81;62;vidas;n;vida
81;63;termos;n;termo
81;64;insultados;N;insultado
81;65;apenas;adv;apena
81;66;existimos;N;existimo
81;67;vida;n;vida
81;68;não;adv;não
81;69;existe;v-fin;existir
81;70;lugar;n;lugar
81;71;guerra;n;guerra
81;72;expressão;n;expressão
81;73;ódio;n;ódio
81;74;preconceito;n;preconceito
81;75;discriminação;n;discriminação
81;76;homofobia;N;homofobia
81;77;conceito;n;conceito
81;78;existir;v-inf;existir
81;79;mais;adv;mal
81;80;fácil;adj;fácil
81;81;entender;v-inf;entender
81;82;humanos;adj;humano
81;83;verbo;N;verbo
81;84;AMAR;N;amar
81;85;verbo;N;verbo
81;86;mais;adv;mal
81;87;desejado;N;desejado
81;88;conjugar;v-inf;conjugar
81;89;nascemos;N;nascemo
81;90;Marchamos;N;marchamo
81;91;voz;n;voz
81;92;amor;n;amor
81;93;respeito;n;respeito
81;94;Marchamos;N;marchamo
81;95;antes;adv;ant
81;96;marcharam;N;marcharam
81;97;disseram;v-fin;dizer
81;98;chega;v-fin;chegar
81;99;também;adv;também
81;100;merecemos;N;merecemo
81;101;respeito;n;respeito
81;102;Marchamos;N;marchamo
81;103;hoje;adv;hoje
81;104;saem;v-fin;sair
81;105;armário;N;armário
81;106;não;adv;não
81;107;medo;n;medo
81;108;não;adv;não
81;109;medo;n;medo
81;110;viver;v-inf;viver
81;111;sair;v-inf;sair
81;112;rua;n;rua
81;113;amar;N;amar
81;114;Passei;N;passei
81;115;demasiados;N;demasiado
81;116;anos;n;ano
81;117;sombra;n;sombra
81;118;ouvir;v-inf;ouvir
81;119;insultos;n;insulto
81;120;apenas;adv;apena
81;121;existo;N;existo
81;122;direito;n;direito
81;123;vida;n;vida
81;124;respeito;n;respeito
81;125;orgulho;n;orgulho
81;126;amar-;N;amar
81;127;viver;v-inf;viver
81;128;vida;n;vida
81;129;Diogo;N;diogo
81;130;mostraste;N;mostraste
81;131;amor;n;amor
81;132;ainda;adv;ainda
81;133;existe;v-fin;existir
81;134;vale;v-fin;valer
81;135;pena;n;pena
81;136;sermos;v-inf;sermo
81;137;felizes;adj;feliz
81;138;Amo-;N;amo
81;139;dias;n;dia
82;1;texto;n;texto
82;2;bonito;adj;bonito
82;3;orgulho;n;orgulho
82;4;amor;n;amor
82;5;sente;v-fin;sentir
82;6;pessoa;n;pessoa
82;7;louvável;adj;louvável
82;8;afinal;adv;afinal
82;9;amar;N;amar
82;10;amado;N;amado
82;11;muito;adv;muito
82;12;bom;adj;bom
82;13;amigos;n;amigo
82;14;amigas;n;amigo
82;15;homossexuais;N;homossexual
82;16;admiro;v-fin;admirar
82;17;respeito;n;respeito
82;18;nunca;adv;nunca
82;19;precisaram;v-fin;precisar
82;20;particularmente;adv;particularmente
82;21;marcha;n;marcha
82;22;orgulho;n;orgulho
82;23;gay;adj;gay
82;24;conseguirem;v-fin;conseguir
82;25;respeito;n;respeito
82;26;admiração;n;admiração
82;27;pessoas;n;pessoa
82;28;inclusive;adv;inclusive
82;29;dentro;adv;dentro
82;30;família;n;família
82;31;tipo;n;tipo
82;32;marcha;n;marcha
82;33;simplesmente;adv;simplesmente
82;34;virou;v-fin;virar
82;35;deboche;N;deboche
82;36;Querem;v-fin;querer
82;37;respeito;n;respeito
82;38;não;adv;não
82;39;respeitam;N;respeitam
82;40;baixaria;N;baixaria
82;41;não;adv;não
82;42;venham;v-fin;vir
82;43;dizer;v-inf;dizer
82;44;é.;N;é.
83;1;texto;n;texto
83;2;bonito;adj;bonito
83;3;orgulho;n;orgulho
83;4;amor;n;amor
83;5;sente;v-fin;sentir
83;6;pessoa;n;pessoa
83;7;louvável;adj;louvável
83;8;afinal;adv;afinal
83;9;amar;N;amar
83;10;amado;N;amado
83;11;muito;adv;muito
83;12;bom;adj;bom
83;13;amigos;n;amigo
83;14;amigas;n;amigo
83;15;homossexuais;N;homossexual
83;16;admiro;v-fin;admirar
83;17;respeito;n;respeito
83;18;nunca;adv;nunca
83;19;precisaram;v-fin;precisar
83;20;particularmente;adv;particularmente
83;21;marcha;n;marcha
83;22;orgulho;n;orgulho
83;23;gay;adj;gay
83;24;conseguirem;v-fin;conseguir
83;25;respeito;n;respeito
83;26;admiração;n;admiração
83;27;pessoas;n;pessoa
83;28;inclusive;adv;inclusive
83;29;dentro;adv;dentro
83;30;família;n;família
83;31;tipo;n;tipo
83;32;marcha;n;marcha
83;33;simplesmente;adv;simplesmente
83;34;virou;v-fin;virar
83;35;deboche;N;deboche
83;36;Querem;v-fin;querer
83;37;respeito;n;respeito
83;38;não;adv;não
83;39;respeitam;N;respeitam
83;40;baixaria;N;baixaria
83;41;não;adv;não
83;42;venham;v-fin;vir
83;43;dizer;v-inf;dizer
83;44;é.;N;é.
84;1;Estudar;N;estudar
84;2;história;n;história
84;3;comunidade;n;comunidade
84;4;LGBTQIA;N;lgbtqia
84;5;perceber;v-inf;perceber
84;6;motivo;n;motivo
84;7;iniciou;v-fin;iniciar
84;8;primeira;adj;primeiro
84;9;marcha;n;marcha
84;10;importante;adj;importante
84;11;Não;adv;não
84;12;vivemos;N;viver
84;13;bolha;n;bolha
84;14;amigos;n;amigo
84;15;não;adv;não
84;16;precisam;v-fin;precisar
